CompanyName,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,TotalRevenue,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,AccountManagerCalls,ChurnStatus
Yodo,25,93,908,479.62,538298.29,Monthly,43,8.37,0.51,9,0
Fivechat,36,103,984,140.78,617334.72,Weekly,43,1.54,0.71,15,1
Chatterbridge,18,2,394,467.19,405658.83,Weekly,11,9.19,0.41,20,0
Blogpad,5,30,777,284.12,968656.05,Monthly,44,13.6,0.58,19,0
Voomm,7,59,120,40.35,714117.44,Daily,22,13.26,0.31,10,0
Edgetag,27,27,996,764.53,987029.42,Daily,30,20.8,0.19,13,1
Yabox,26,5,397,181.08,392259.83,Daily,7,10.07,0.47,19,0
Rhynyx,30,47,843,924.43,241721.59,Monthly,35,9.88,0.36,10,0
Fivespan,33,73,884,872.03,396264.51,Weekly,16,10.99,0.35,7,1
Eimbee,21,39,486,123.62,16116.03,Weekly,15,5.84,0.65,0,0
Skimia,24,58,59,380.3,983213.32,Weekly,28,19.85,0.03,10,1
Thoughtworks,14,79,930,504.52,525988.21,Weekly,44,4.99,0.49,14,1
Voomm,1,36,421,927.11,726552.43,Monthly,21,4.74,0.16,16,0
JumpXS,24,7,430,438.69,919334.18,Monthly,24,13.72,0.08,1,1
Flashset,22,120,712,55.97,91145.59,Monthly,4,21.03,0.03,6,0
Thoughtworks,26,115,251,87.87,857877.64,Daily,49,21.89,0.44,19,1
Eimbee,14,82,751,758.07,196827.6,Weekly,39,9.12,0.34,12,1
Flipstorm,33,74,99,507.83,356405.41,Daily,8,22.57,1.0,3,0
Skajo,30,11,197,956.59,604101.29,Weekly,9,21.48,0.9,9,0
Leexo,33,14,984,27.47,629595.32,Weekly,6,10.13,0.03,9,0
Kaymbo,10,19,632,902.36,738690.99,Monthly,28,20.36,0.02,13,1
Zooxo,19,53,950,646.72,27444.31,Monthly,7,13.29,0.2,12,1
Teklist,20,58,558,322.8,305244.86,Monthly,46,6.99,0.06,5,0
Roomm,1,111,372,561.47,525202.95,Daily,47,13.95,0.31,0,0
Fivebridge,24,66,140,487.71,950368.25,Weekly,7,12.39,0.78,16,0
Yambee,27,32,334,161.23,220203.77,Daily,6,5.76,0.94,5,0
Yakitri,36,36,390,912.77,148588.9,Daily,29,3.22,0.88,4,0
Youtags,33,102,174,979.4,102610.4,Weekly,30,17.68,0.01,2,0
Roomm,29,98,707,536.86,562470.2,Weekly,15,11.52,0.14,0,0
Zooveo,17,3,641,542.83,567888.03,Monthly,45,14.5,0.55,9,0
Photobean,34,25,440,86.75,600819.62,Daily,31,10.51,0.44,10,1
Lazzy,4,103,508,141.19,560544.21,Weekly,45,0.85,0.11,17,0
Tagcat,16,19,489,746.97,49160.51,Monthly,19,16.24,0.71,1,0
Jazzy,18,9,253,622.52,940292.74,Daily,21,14.96,0.9,5,0
Babbleopia,31,96,414,652.98,453542.43,Weekly,16,18.97,0.13,6,1
Zooveo,29,94,508,174.2,84747.83,Weekly,1,8.62,0.13,15,1
Yodel,14,29,648,407.18,379597.46,Weekly,33,23.01,0.86,18,1
Yakidoo,30,77,753,35.79,160424.85,Weekly,37,18.78,0.96,14,1
Minyx,34,101,276,579.43,955145.94,Weekly,19,7.93,0.58,0,0
Oyoloo,16,34,374,268.01,776293.17,Monthly,42,7.41,0.24,3,0
Muxo,5,66,668,795.67,257857.19,Monthly,41,16.24,0.5,8,1
Fatz,26,39,460,77.25,319574.73,Daily,34,20.7,0.46,7,0
Divanoodle,5,68,48,839.17,946451.99,Weekly,48,20.51,0.35,13,0
Edgeify,9,118,463,5.08,639866.19,Weekly,29,2.73,0.17,10,1
Jetpulse,34,43,934,602.54,515918.67,Daily,0,20.35,0.33,12,0
Shuffletag,13,47,114,793.72,808662.9,Monthly,23,10.2,0.22,18,0
Thoughtstorm,1,19,310,423.9,633417.99,Daily,25,3.96,0.9,1,1
Zoonder,23,118,359,370.77,880999.81,Monthly,40,12.37,0.63,2,0
Topicshots,6,91,827,964.14,349914.93,Monthly,23,22.42,0.32,11,0
Quaxo,28,114,209,578.31,843720.27,Weekly,37,13.84,0.89,3,0
Vinte,15,96,322,506.8,382361.67,Daily,2,10.85,0.54,7,1
Jaloo,21,91,285,424.45,348985.8,Monthly,24,1.82,0.76,7,1
Gabtype,22,47,266,950.85,788487.76,Daily,7,19.16,0.98,14,0
Jayo,29,27,308,892.98,105429.44,Weekly,14,13.26,0.88,1,1
Jabbersphere,25,55,169,788.06,733502.97,Weekly,30,4.39,0.97,19,1
Cogibox,28,24,603,86.59,474209.56,Monthly,24,21.73,0.72,14,1
Skyba,25,55,679,81.39,900014.44,Weekly,1,1.35,0.32,19,1
Blognation,23,9,837,105.08,45171.1,Daily,7,7.94,0.43,8,0
Reallinks,24,8,311,36.42,380809.21,Daily,14,5.5,0.2,0,1
Ainyx,15,1,603,494.3,272534.76,Weekly,21,2.11,0.84,1,1
Photospace,22,11,11,948.87,325139.08,Weekly,35,12.47,0.8,16,0
Wikizz,22,32,492,772.53,261870.58,Monthly,5,22.87,0.02,7,1
Jamia,23,28,813,372.06,759287.75,Monthly,10,6.71,0.71,19,0
Riffpath,15,57,114,61.43,537717.58,Monthly,11,22.97,0.53,18,0
Twimm,20,99,26,941.82,405251.55,Monthly,37,5.55,0.58,18,1
Meedoo,20,17,804,118.56,290701.75,Daily,46,16.88,0.17,20,0
Voomm,13,44,956,760.82,22423.91,Daily,40,4.6,0.35,14,1
Feedfire,21,80,459,726.3,408143.11,Weekly,13,1.81,0.07,11,0
Chatterpoint,18,120,499,195.69,232628.73,Daily,3,1.91,0.8,7,0
Avamm,11,1,859,429.65,983274.29,Weekly,9,7.69,0.56,20,1
Dynazzy,36,67,748,161.75,267134.79,Daily,8,6.13,0.03,10,1
Shuffledrive,4,119,636,354.46,719201.03,Weekly,37,10.68,0.05,4,0
Flashpoint,3,96,626,580.94,689399.17,Monthly,30,10.0,0.09,7,0
Tagopia,28,16,962,674.67,209836.11,Daily,2,7.51,0.84,1,0
Dabtype,9,31,250,109.17,823240.03,Weekly,46,20.6,0.79,13,0
Brainlounge,35,53,457,234.74,463194.91,Weekly,20,21.41,0.63,5,1
Midel,22,65,297,983.72,830715.14,Daily,31,0.28,0.04,15,1
Photofeed,28,96,798,183.02,286496.3,Monthly,40,21.82,0.5,6,0
Kare,31,103,329,12.74,615772.12,Daily,20,23.35,0.23,3,0
Cogibox,16,7,561,472.56,682318.36,Weekly,4,16.3,0.15,1,0
Edgeblab,2,120,214,154.33,213806.73,Weekly,50,16.59,0.28,15,1
Aimbo,5,53,488,141.15,141294.67,Daily,25,21.09,0.61,14,0
Yombu,36,45,650,834.63,56668.24,Monthly,34,3.65,0.67,19,0
Kazio,14,99,203,433.65,333624.11,Weekly,49,10.7,0.53,1,0
Browsecat,34,63,905,614.92,402387.38,Daily,0,10.6,0.98,0,1
Edgeblab,30,114,740,768.93,478492.06,Monthly,11,12.26,0.28,7,0
Rhyloo,6,111,345,149.73,193298.09,Weekly,43,5.94,0.17,0,0
Twitterlist,26,19,435,893.69,71804.89,Daily,45,2.09,0.52,15,0
Blogtag,23,54,671,487.12,806463.04,Weekly,33,20.83,0.47,17,0
Skynoodle,12,80,915,52.82,494910.24,Daily,17,8.69,0.04,5,1
Mydeo,6,76,805,515.96,662322.18,Weekly,20,14.08,0.84,20,1
Skyble,19,6,965,627.35,292065.97,Monthly,47,8.69,0.96,9,0
Zoomzone,6,22,935,896.05,477119.49,Daily,22,1.82,0.6,12,1
Babbleopia,26,21,476,162.89,251694.94,Weekly,10,22.22,0.06,19,1
Aimbu,5,91,881,401.31,905492.07,Weekly,32,6.39,0.03,17,0
Centidel,30,8,984,870.56,888744.48,Weekly,24,1.72,0.28,10,0
Yakidoo,13,33,269,350.15,680728.77,Daily,35,13.59,0.71,16,1
Trudeo,5,25,188,971.23,56629.25,Weekly,36,1.7,0.25,13,0
Eazzy,2,96,981,292.4,541841.0,Monthly,34,13.6,0.91,14,0
Browsecat,12,78,768,291.95,963170.31,Weekly,49,15.86,0.14,1,1
Chatterpoint,9,19,490,52.2,809600.27,Monthly,21,20.45,0.25,7,0
Yambee,16,38,133,348.39,537207.82,Monthly,1,16.86,0.48,3,0
Dazzlesphere,8,52,124,751.45,717551.84,Weekly,33,19.22,0.61,14,0
Trilia,26,47,498,694.27,618982.16,Weekly,45,15.84,0.34,2,1
Mydeo,14,77,533,982.38,361786.35,Monthly,25,18.62,0.52,19,1
Divanoodle,15,8,785,636.89,139601.02,Monthly,39,21.95,0.62,7,0
Yata,9,111,640,139.89,364510.48,Weekly,10,9.46,0.87,10,0
Geba,33,51,999,407.29,495748.87,Monthly,39,3.92,0.34,9,0
Feedspan,18,90,190,594.4,843753.98,Weekly,36,15.81,0.75,4,1
Skinix,30,32,224,553.84,525620.25,Daily,9,23.29,0.89,4,1
Flipopia,5,80,998,607.3,618460.43,Monthly,38,11.06,0.38,1,0
Pixoboo,32,119,902,266.71,418154.84,Daily,16,12.43,0.07,0,0
Dabvine,31,113,704,257.22,728235.96,Weekly,11,19.29,0.94,0,0
Einti,10,64,447,574.92,641824.7,Weekly,36,12.36,0.97,5,0
Jamia,28,31,117,335.08,484775.74,Monthly,18,22.15,0.33,17,0
Youspan,19,68,663,373.19,298710.29,Monthly,9,21.24,0.14,16,1
Twitterbeat,26,8,995,171.87,899243.62,Monthly,9,15.5,0.37,12,1
Jaxnation,1,78,808,531.16,497505.65,Daily,39,18.63,0.32,6,0
Twitternation,28,48,938,57.41,374504.33,Weekly,44,21.61,0.04,4,0
Brainsphere,8,20,228,723.66,315347.27,Monthly,12,3.77,0.64,6,1
Feednation,29,28,26,560.09,159651.99,Daily,25,7.58,0.07,5,1
Skinte,9,53,222,479.12,600974.12,Daily,4,20.91,0.81,10,1
Jaxbean,26,21,766,307.28,58504.38,Weekly,3,8.12,0.11,13,0
Jaxnation,17,110,253,383.44,737612.29,Weekly,2,11.57,0.94,20,0
Edgeify,18,115,751,456.74,712824.91,Weekly,38,3.57,0.95,11,1
Youfeed,34,111,108,827.57,657068.28,Daily,48,0.79,0.45,9,0
Jabbertype,9,68,803,774.65,57490.48,Daily,29,4.7,0.48,0,0
Yambee,19,100,935,946.96,331716.22,Monthly,25,14.87,0.11,3,0
Quaxo,2,118,247,824.74,656854.22,Weekly,25,1.8,0.65,6,1
Thoughtbeat,14,31,956,926.15,443.48,Daily,14,10.11,0.73,18,1
Eayo,11,75,851,467.88,697473.85,Monthly,29,15.81,0.27,7,0
Yoveo,7,108,630,988.38,884785.0,Monthly,26,21.73,0.2,12,0
Buzzster,13,71,199,158.13,356701.24,Monthly,2,23.86,0.95,9,1
Camimbo,27,25,443,988.94,785984.5,Daily,33,6.98,0.36,3,0
Bubblemix,26,71,47,639.29,684651.49,Weekly,12,12.57,0.41,8,1
Roomm,22,75,920,607.42,340017.86,Daily,34,17.52,0.56,8,0
Voolia,19,82,363,48.73,534854.84,Daily,7,20.56,0.41,3,0
Browsezoom,12,116,183,109.4,727308.89,Weekly,27,2.85,0.59,20,0
Yadel,20,16,824,932.08,817830.5,Monthly,0,18.0,0.24,15,1
Voonte,17,29,357,197.89,598740.42,Monthly,44,23.45,0.57,17,1
Camimbo,20,82,867,747.49,758070.94,Daily,26,23.55,0.75,0,1
Kwinu,11,109,793,69.35,941196.91,Daily,41,16.84,0.25,12,0
Babbleblab,29,12,480,625.06,963467.04,Monthly,25,22.31,0.08,1,0
Kazu,1,34,49,938.34,900607.57,Monthly,43,1.43,0.51,11,1
Skinix,3,8,165,804.37,223716.96,Daily,9,12.18,0.45,16,1
Brightbean,8,92,876,970.17,387511.79,Monthly,11,8.81,0.41,20,0
Realbridge,13,106,167,28.59,686162.31,Daily,33,17.74,0.52,7,1
Realbridge,35,70,471,397.87,384724.67,Daily,42,15.76,0.9,2,0
Skinte,30,86,661,759.3,92353.51,Weekly,45,19.39,0.05,13,1
Realcube,29,10,879,363.82,40955.96,Weekly,37,13.26,0.83,7,1
Cogibox,15,69,982,664.63,886717.46,Daily,7,9.77,0.65,18,0
Dynabox,1,73,771,241.68,31842.35,Daily,28,8.52,0.44,10,1
Photobug,13,47,245,566.83,426712.17,Weekly,2,6.59,0.42,12,0
Thoughtworks,18,109,222,234.86,636657.41,Monthly,29,12.04,0.55,12,0
Jaxworks,6,65,832,568.6,695359.46,Weekly,11,4.54,0.82,15,1
Bubblebox,6,91,805,527.57,662365.67,Monthly,27,17.96,0.51,2,0
Dabfeed,11,57,31,654.29,492858.76,Monthly,32,20.89,0.93,7,0
Quamba,32,98,31,152.15,626224.88,Monthly,18,20.63,0.8,4,1
Thoughtmix,6,27,251,518.25,687899.05,Daily,50,18.95,0.16,18,1
Twitterworks,23,106,595,80.6,401070.55,Daily,15,13.03,0.28,13,0
JumpXS,2,44,765,269.7,328999.12,Weekly,2,11.58,0.02,0,0
Oyoba,8,86,87,959.53,351953.89,Daily,35,20.81,0.98,8,1
Thoughtbridge,31,89,23,808.17,884392.08,Monthly,16,21.81,0.43,3,1
Jabbertype,34,48,919,880.62,149205.24,Weekly,26,12.94,0.4,1,0
Eayo,9,26,636,141.55,546421.49,Daily,26,13.78,0.26,1,1
Thoughtbridge,32,19,624,867.21,65137.9,Daily,31,3.85,0.8,7,1
Yambee,35,20,671,296.23,238167.08,Monthly,21,20.6,0.87,14,1
Mycat,19,28,202,470.91,13666.77,Monthly,10,9.11,0.94,3,0
Oyondu,18,85,360,578.03,296990.7,Daily,30,0.08,0.29,5,1
Dabfeed,6,27,251,97.11,920005.01,Monthly,17,9.64,0.33,2,1
Skynoodle,9,69,162,571.24,998010.42,Daily,22,12.05,0.4,11,0
Eidel,15,46,898,918.55,169941.24,Monthly,36,6.97,0.69,12,1
Kimia,3,3,34,66.71,597446.55,Weekly,20,14.27,0.04,16,0
Dynazzy,12,1,589,350.08,172570.11,Monthly,35,11.02,0.54,16,0
Pixope,11,88,417,128.2,493853.88,Weekly,27,0.87,0.15,0,0
Leenti,20,25,826,438.45,356949.97,Daily,1,5.62,0.55,12,1
Rhybox,27,38,770,763.97,679038.45,Weekly,9,11.02,0.19,9,0
Nlounge,12,111,527,945.81,398472.62,Daily,33,23.13,0.31,16,0
Kazio,15,79,361,795.6,537417.2,Weekly,18,3.36,0.19,5,0
Feednation,30,74,90,686.09,792289.31,Daily,8,19.94,0.95,17,0
Realblab,5,107,196,690.46,873405.6,Monthly,0,14.12,0.44,16,0
Brainbox,29,24,561,93.68,884117.84,Monthly,20,0.67,0.88,6,0
Aimbu,28,57,332,3.29,624895.83,Monthly,22,11.58,0.54,15,0
Jabbersphere,31,3,214,375.55,245124.45,Weekly,24,16.79,0.31,11,1
Roomm,36,101,4,402.09,274869.65,Daily,31,12.71,0.24,9,0
Photobug,31,91,978,695.38,190672.21,Weekly,17,13.17,0.01,19,0
Voonyx,16,59,161,514.47,975486.94,Monthly,38,19.09,0.33,9,1
Realbridge,33,37,506,812.99,681333.45,Weekly,23,1.44,0.54,14,1
JumpXS,30,16,544,566.41,76961.96,Weekly,11,14.58,0.13,10,0
Jabberstorm,5,68,135,63.83,2764.28,Daily,47,4.89,0.93,9,1
Wordtune,31,6,463,833.85,66271.76,Weekly,38,3.68,0.11,7,0
Teklist,23,46,133,112.17,6732.14,Weekly,38,0.15,0.54,9,0
Pixonyx,9,119,79,82.28,542257.9,Weekly,20,0.91,0.55,5,1
Skimia,5,29,198,558.1,447698.32,Monthly,47,13.13,0.24,18,0
Feedspan,19,7,937,814.2,158758.29,Monthly,26,6.43,0.45,14,1
Avaveo,11,15,996,344.35,823297.45,Daily,41,2.17,0.15,13,1
Browsebug,8,119,965,325.32,365018.07,Daily,35,4.65,0.58,10,1
Jazzy,14,1,84,218.85,964416.44,Weekly,9,6.99,0.61,1,0
Mita,3,55,726,44.57,287130.76,Monthly,26,23.82,0.06,19,0
Tagcat,28,18,277,687.9,733432.99,Daily,41,10.39,0.61,6,0
Izio,11,51,944,801.43,21065.32,Daily,7,3.41,0.27,12,0
Katz,28,27,691,15.4,68231.37,Weekly,23,9.26,0.51,13,0
Roodel,1,119,301,618.64,744634.92,Monthly,33,0.48,0.39,3,0
Skidoo,8,72,610,933.05,427378.18,Daily,28,8.0,0.62,2,0
Yoveo,26,8,401,80.54,645767.84,Daily,8,17.51,0.25,11,0
Trilith,27,31,739,19.92,293062.23,Weekly,32,8.83,0.01,2,1
Leenti,12,38,969,83.11,968750.27,Daily,35,13.44,0.08,2,0
Edgeblab,8,92,110,183.4,476475.43,Monthly,36,9.15,0.63,16,1
Twitternation,14,81,942,118.75,981027.5,Daily,25,3.98,0.55,20,1
Edgeclub,3,110,383,82.44,783194.79,Weekly,44,21.86,0.67,7,0
Trunyx,33,51,246,393.1,459529.85,Daily,15,13.74,0.73,8,1
Eadel,22,37,35,284.87,373846.23,Weekly,21,17.79,0.98,16,1
Skalith,25,100,27,508.01,649374.29,Monthly,30,16.37,0.3,18,1
Myworks,7,31,270,895.99,784666.92,Monthly,15,15.56,0.64,13,0
Twitterworks,5,43,571,789.79,677443.34,Weekly,11,20.07,0.95,5,0
Latz,18,107,220,153.88,727620.3,Weekly,36,8.94,0.47,4,0
Plambee,21,85,582,63.77,2549.06,Weekly,37,19.84,0.81,0,0
Fivebridge,24,47,317,607.21,68328.56,Monthly,44,8.38,0.84,15,0
Devpoint,19,17,951,445.57,248527.4,Weekly,22,23.38,0.04,20,1
Lazzy,22,114,442,240.16,796546.31,Weekly,50,18.17,0.59,8,0
Talane,25,120,124,368.84,498476.75,Monthly,16,1.26,0.08,6,0
Centidel,23,84,274,676.2,298481.06,Weekly,16,18.37,0.15,14,0
Photobean,22,18,212,696.53,269587.76,Daily,27,16.88,0.99,8,0
Snaptags,6,99,193,107.68,165044.31,Weekly,38,19.85,0.21,19,0
Eayo,9,0,820,197.7,23753.25,Weekly,33,20.38,0.56,12,1
Ooba,28,80,793,784.72,610473.46,Monthly,32,9.55,0.3,4,0
Fivebridge,5,93,974,806.56,167688.14,Monthly,36,17.97,0.5,16,1
Muxo,20,78,629,400.28,301917.37,Daily,4,8.8,0.14,6,1
Yambee,7,108,346,151.55,48376.05,Daily,6,8.81,0.05,10,1
Eayo,32,30,583,229.98,849976.02,Daily,32,2.61,0.04,6,1
Yacero,10,76,885,819.32,658354.21,Monthly,13,18.59,0.26,17,1
Meevee,36,55,709,747.88,21452.65,Monthly,34,12.31,0.29,6,0
Skidoo,1,23,396,38.13,525789.33,Monthly,19,17.52,0.05,6,1
Skippad,8,14,892,391.19,537615.71,Weekly,26,1.54,0.06,1,0
Jabbersphere,27,116,17,835.2,996184.71,Daily,28,12.97,0.26,1,1
Photojam,1,62,786,985.22,583362.14,Daily,39,22.95,0.22,12,0
Wordware,7,1,857,362.81,736142.35,Daily,49,18.72,0.13,10,0
Skalith,28,117,93,544.03,673122.12,Monthly,47,6.17,0.94,11,1
Roombo,36,38,654,954.46,295619.97,Daily,24,19.69,0.78,13,1
Thoughtstorm,22,107,914,636.91,247081.76,Daily,21,0.94,0.42,10,1
Blognation,8,99,858,432.73,827678.58,Daily,15,3.98,0.05,18,1
Minyx,11,68,727,331.11,769616.34,Monthly,18,1.48,0.96,3,0
Browsecat,22,68,490,728.29,285219.81,Weekly,44,1.47,0.92,14,0
Eimbee,9,28,398,415.71,595554.5,Monthly,2,17.73,0.68,6,0
Skalith,7,117,5,569.32,892513.23,Weekly,38,22.58,0.55,11,1
Wikibox,10,28,794,838.17,969847.32,Monthly,40,10.72,0.66,19,0
Layo,12,58,722,470.33,405925.29,Weekly,44,23.79,0.42,2,0
Shuffledrive,19,40,592,429.49,921862.79,Weekly,3,12.34,0.96,11,0
Quire,10,82,886,428.06,185551.29,Monthly,48,6.66,0.89,6,0
Tavu,34,54,497,691.21,710907.64,Weekly,24,7.33,0.79,6,1
Vimbo,10,80,374,927.66,729112.84,Weekly,15,15.62,0.48,20,0
Topiczoom,13,94,372,176.57,634401.82,Daily,45,18.92,0.51,12,0
Voonix,12,51,839,861.69,266623.66,Weekly,9,14.19,0.45,9,0
Voonyx,21,11,327,487.95,365970.5,Daily,49,18.92,0.34,0,0
Skipstorm,17,111,567,580.44,326684.42,Daily,4,8.77,0.07,4,1
Livetube,31,114,264,324.46,699279.94,Monthly,8,23.87,0.38,11,0
Photolist,12,29,716,21.07,804340.15,Monthly,2,9.0,0.91,10,1
Skalith,2,78,364,214.96,917007.88,Weekly,6,0.75,0.56,1,1
Reallinks,34,88,901,832.26,469041.04,Daily,7,20.58,0.1,4,0
Browsebug,20,76,367,567.28,38525.81,Weekly,42,20.62,0.32,12,1
InnoZ,32,88,216,408.91,881068.54,Daily,47,21.49,0.51,13,0
Shuffletag,2,86,756,480.15,670725.8,Weekly,17,5.83,0.59,6,0
Topicshots,35,99,592,321.39,66422.03,Daily,34,21.27,0.84,4,0
Realbuzz,27,65,244,665.97,168145.86,Daily,50,1.55,0.86,18,0
Geba,31,21,353,855.32,592546.12,Daily,6,17.74,0.72,5,1
Yodel,16,110,157,850.93,908953.26,Daily,25,6.41,0.91,14,0
Wordify,22,62,856,815.82,83742.83,Monthly,8,16.42,0.56,15,1
Jaxworks,11,2,55,837.9,242229.04,Daily,9,1.92,0.78,6,1
Skalith,4,58,862,129.91,356075.95,Weekly,32,20.92,0.65,17,0
Browsetype,25,67,141,549.46,724137.61,Monthly,31,13.31,0.91,4,1
Zoomzone,12,99,599,950.24,166416.13,Weekly,18,16.42,0.71,11,1
Zoomcast,7,75,218,570.67,173735.85,Weekly,36,14.11,0.48,18,0
Wordware,32,102,449,565.1,296773.34,Weekly,16,4.96,0.7,0,1
Skalith,21,118,982,723.2,766492.39,Weekly,47,12.74,0.03,17,0
Kwimbee,28,52,371,394.34,604418.24,Weekly,23,19.11,0.91,14,0
Jaxnation,12,93,490,552.96,270625.4,Daily,46,23.39,0.19,5,0
